,Names,Prices,Ratings,Images
0,"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)","16,498",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/r/f/-original-imaghkvuhzwge3za.jpeg?q=70
1,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","18,424",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/j/o/-original-imaghkvue4yjecju.jpeg?q=70
2,"REDMI Note 12 Pro 5G (Onyx Black, 256 GB)","18,745",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/r/f/-original-imaghkvuhzwge3za.jpeg?q=70
3,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","21,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/j/o/-original-imaghkvue4yjecju.jpeg?q=70
4,"REDMI Note 12 Pro 5G (Stardust Purple, 256 GB)","23,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/o/o/-original-imaghkvuzxkcna4n.jpeg?q=70
5,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","15,698",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/j/o/-original-imaghkvue4yjecju.jpeg?q=70
6,"REDMI Note 12 Pro 5G (Onyx Black, 256 GB)","21,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/r/f/-original-imaghkvuhzwge3za.jpeg?q=70
7,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","21,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/o/o/-original-imaghkvuzxkcna4n.jpeg?q=70
8,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","23,399",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/o/o/-original-imaghkvuzxkcna4n.jpeg?q=70
9,"REDMI Note 12 Pro 5G (Onyx Black, 256 GB)","23,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/r/f/-original-imaghkvuhzwge3za.jpeg?q=70
